"","X.1","X","id","tract","geo.id","sq.miles","area","median.income","total.income","income.quantile","total.pop","white.pop","white.ratio","bmp.installations","bmp.per.pop","bmp.per.sqmi","volume","impervious"
"1",1,1,1,1001,11001001001,0.94750279,2454020.97014317,105423.5,445020421,4,4347,576,0.132505175983437,106,0.0147879464285714,111.873021503187,12832.87,NA
"2",2,2,2,1002,11001001002,0.34349071,889636.856290747,76705,134639759,4,3740,626,0.167379679144385,7,0.00210273355361971,20.3790082124783,7837.58,NA
"3",3,3,3,4001,11001004001,0.10650398,275844.048415666,77629,230295472,4,4208,1773,0.42134030418251,17,0.00469224399668783,159.618448061753,17688.55,NA
"4",4,4,4,4002,11001004002,0.07570544,196076.1888545,65155,170535365,3,5763,1915,0.332292208918966,8,0.00294117647058824,105.672723122671,7110.1,NA
"5",5,5,5,4100,11001004100,0.31541962,816933.062280377,81283.5,217573711,4,4614,2884,0.625054182921543,12,0.00453514739229025,38.044557913043,11287.15,NA
"6",6,6,6,4201,11001004201,0.07896109,204508.273887692,69112,195239173,4,4474,3285,0.734242288779616,2,0.000615384615384615,25.3289309962666,2057.14,NA
"7",7,7,7,4202,11001004202,0.08045908,208388.072346607,67958,165982765,4,2531,2088,0.824970367443698,0,0,0,4289.64,NA
"8",8,8,8,4300,11001004300,0.09136068,236623.079935932,56174,161937053,3,5911,4877,0.825071899847742,16,0.00505689001264223,175.130045004043,42797.82,NA
"9",9,9,9,4400,11001004400,0.20142623,521691.548437318,77519,325184107,4,3957,997,0.25195855446045,50,0.0112435349673937,248.229835806389,18135.51,NA
"10",10,10,10,1100,11001001100,0.64727184,1676426.38039493,88358,326529055,4,2644,1020,0.385779122541604,82,0.0176686059039,126.685566917294,18983.25,NA
"11",11,11,11,1200,11001001200,0.47030868,1218093.87851016,74166.5,304763968,4,4890,4444,0.90879345603272,73,0.0150515463917526,155.217207558236,24581.02,NA
"12",12,12,12,1301,11001001301,1.10173667,2853484.86247428,66620,240485097,4,3916,2940,0.75076608784474,57,0.014832162373146,51.7365007012066,46823.62,NA
"13",13,13,13,1302,11001001302,0.61471619,1592107.62646792,73585,405180643,4,5425,4705,0.867281105990783,29,0.00434652278177458,47.1762424217264,12928.95,NA
"14",14,14,14,1401,11001001401,0.30434534,788250.801150996,79863.5,207763895,4,6233,5497,0.881918819188192,57,0.0191596638655462,187.287244154946,4471.49,NA
"15",15,15,15,1402,11001001402,0.34560825,895121.269963101,102986,181523449,4,1455,1247,0.857044673539519,21,0.00718931872646354,60.7624383966529,79605.68,NA
"16",16,16,16,502,11001000502,0.2244972,581445.072597169,75829,252908312,4,3376,2853,0.845082938388626,15,0.00484652665589661,66.8159781057403,44906.6,NA
"17",17,17,17,3400,11001003400,0.41603782,1077532.99660087,43117,75037699,3,2092,1861,0.889579349904398,42,0.0101156069364162,100.952360532992,5630.65,NA
"18",18,18,18,3500,11001003500,0.1474256,381830.550236599,32859.5,66239783,2,7436,6342,0.85287789133943,45,0.0125208681135225,305.238710237571,5201.6,NA
"19",19,19,19,3600,11001003600,0.11800258,305625.267934718,42788.5,161376203,3,3442,2788,0.809994189424753,23,0.00568181818181818,194.91099262406,53697.64,387673
"20",20,20,20,3700,11001003700,0.11286229,292311.980827426,41387.5,162058134,2,3745,3237,0.864352469959947,44,0.00798983112402397,389.855637343527,3196.65,NA
"21",21,21,21,3800,11001003800,0.13737758,355806.303173665,54786,209040361,3,2797,2232,0.797997854844476,25,0.00565738854944558,181.980203756683,2357.13,NA
"22",22,22,22,3900,11001003900,0.15481328,400964.564907712,59470,206237963,3,2708,2261,0.83493353028065,13,0.00302044609665428,83.9721243552233,5818.64,NA
"23",23,23,23,6500,11001006500,0.1915159,496023.890978902,79139,138021124,4,3342,2721,0.814183123877917,11,0.00445524503847712,57.4364843858917,0,NA
"24",24,24,24,1500,11001001500,1.81414212,4698606.50898024,136868,464768292,4,2771,2281,0.823168531216167,164,0.0286262873101763,90.4008556948118,0,0
"25",25,25,25,1600,11001001600,1.04219701,2699277.85855378,86508.5,206050056,4,3255,1849,0.568049155145929,152,0.0400105290866017,145.845745613874,6144.96,NA
"26",26,26,26,1702,11001001702,0.35908746,930032.250283736,57746,99172867,3,4572,2989,0.653762029746282,95,0.037713378324732,264.559503136088,38534.73,NA
"27",27,27,27,100,11001000100,0.9153844,2370834.717974,86101.5,444019426,4,4779,4012,0.839506172839506,22,0.0045757071547421,24.0336191003474,54480.64,NA
"28",28,28,28,201,11001000201,0.20832214,539551.85681847,23000,627662,1,5008,4073,0.813298722044728,29,0.00776231263383298,139.20747933945,16137.07,NA
"29",29,29,29,202,11001000202,0.47662417,1234450.92243497,95033.5,244019719,4,3955,3047,0.770417193426043,22,0.00415564790328674,46.1579613136279,4691.02,NA
"30",30,30,30,300,11001000300,0.3946925,1022248.871354,58822,306388942,3,6857,5596,0.816100335423655,63,0.01036866359447,159.617930414183,10883.76,NA
"31",31,31,31,400,11001000400,0.59122317,1531260.97201112,110621,130390459,4,3078,2541,0.825536062378168,42,0.0294117647058824,71.0391644495259,7595.78,NA
"32",32,32,32,501,11001000501,0.36466291,944472.612260386,68973,182269099,4,2998,2334,0.778519012675117,30,0.00918273645546373,82.2677579137401,4200.98,NA
"33",33,33,33,7304,11001007304,0.48279014,1250420.73146695,20922,39995849.95,1,3189,2720,0.852931953590467,26,0.00740108169655565,53.8536267538521,2366.32,NA
"34",34,34,34,7401,11001007401,0.55896528,1447713.42257725,16504.5,17706306,1,3514,354,0.100739897552647,25,0.0104471374843293,44.7254970827526,45343.14,NA
"35",35,35,35,7403,11001007403,0.12590949,326104.07236817,22754,27739508,1,4480,549,0.122544642857143,3,0.00105820105820106,23.826639278739,2954.72,NA
"36",36,36,36,7404,11001007404,0.31113134,805826.46422243,24785.5,41892503,1,4016,424,0.105577689243028,24,0.00739371534195933,77.1378415302039,31271.8,NA
"37",37,37,37,7406,11001007406,0.14274111,369697.788765436,18214.5,22222673,1,3198,959,0.299874921826141,25,0.00825627476882431,175.142255794424,5679.84,NA
"38",38,38,38,7407,11001007407,0.235764,610625.968253566,29333.5,43791436,2,2134,735,0.344423617619494,58,0.0227361818894551,246.008720584992,168,NA
"39",39,39,39,7408,11001007408,0.1476422,382391.546224026,18636,22774343,1,2412,106,0.0439469320066335,2,0.000664451827242525,13.5462625184398,18693.6,NA
"40",40,40,40,7409,11001007409,0.15357025,397745.127479349,21349.5,40482342,1,2633,48,0.0182301557159134,4,0.00115774240231548,26.0467115212745,13893.98,NA
"41",41,41,41,7502,11001007502,0.23773408,615728.446798271,24720,50022193.2,1,3309,33,0.0099728014505893,76,0.0170633138751684,319.684918544283,14603.68,NA
"42",42,42,42,4600,11001004600,0.16869473,436917.338248073,41045,93634428,2,2732,113,0.0413616398243045,65,0.0221918743598498,385.311384653214,129880.04,NA
"43",43,43,43,4701,11001004701,0.12402304,321218.203506362,36630,104928195,2,4127,117,0.0283498909619578,26,0.00663434549630008,209.638467175131,134740.83,NA
"44",44,44,44,4702,11001004702,0.12529109,324502.438578914,69010,106167879,4,1976,737,0.372975708502024,29,0.0166475315729047,231.460992158341,83486.23,NA
"45",45,45,45,4801,11001004801,0.12257198,317459.981364852,52484,99227482,3,2582,280,0.10844306738962,28,0.0136919315403423,228.437200737069,0,NA
"46",46,46,46,4802,11001004802,0.1112353,288098.105370579,41981,115913258,3,2557,170,0.0664841611263199,41,0.0144112478031634,368.588029159808,3932.82,NA
"47",47,47,47,4901,11001004901,0.10496552,271859.444849674,44409,77147230,3,2794,1670,0.597709377236936,16,0.00785854616895874,152.431007820473,184964.69,NA
"48",48,48,48,4902,11001004902,0.1018765,263858.924567305,52213.5,123680131,3,3012,1791,0.594621513944223,32,0.0122370936902486,314.105804577111,104559.87,NA
"49",49,49,49,5001,11001005001,0.07904697,204730.715388826,74090,124100006,4,3546,41,0.0115623237450649,13,0.00686740623349181,164.459181673883,113176.31,NA
"50",50,50,50,5002,11001005002,0.09014992,233487.214065982,53208,266261760,3,2414,17,0.00704225352112676,10,0.00172443524745646,110.926332491476,29778.55,NA
"51",51,51,51,5201,11001005201,0.13114982,339676.463215864,75149,401961716,4,2859,12,0.00419727177334732,19,0.00323239197005784,144.872482478436,6695.66,NA
"52",52,52,52,5301,11001005301,0.11056772,286369.087779839,72068,288225330,4,3310,41,0.0123867069486405,16,0.00326397388820889,144.707695880859,172840.62,NA
"53",53,53,53,5500,11001005500,0.24613362,637483.158809735,78901.5,409244354,4,3063,20,0.00652954619653934,31,0.0048032228075612,125.947848977316,23047.88,229342
"54",54,54,54,5600,11001005600,0.18340975,475029.075783795,61943.5,192250360,3,2587,32,0.012369540007731,17,0.00260616280852369,92.6886384175323,31420.53,NA
"55",55,55,55,5800,11001005800,0.35162813,910712.662854341,89328,175823623,4,3038,32,0.010533245556287,276,0.100840336134454,784.92013707777,0,710
"56",56,56,56,5900,11001005900,0.24858265,643826.10708364,47249,89285287,3,3499,20,0.00571591883395256,27,0.00924024640657084,108.615786339071,6395.2,355887
"57",57,57,57,6202,11001006202,4.40833363,11417531.6664333,52548,554878,3,4541,43,0.00946927989429641,47,1.42424242424242,10.6616249913916,11745.2,NA
"58",58,58,58,6400,11001006400,0.35386742,916512.417609171,25016,36959590,1,3028,816,0.269484808454425,36,0.0171837708830549,101.733016280504,46579.88,NA
"59",59,59,59,6600,11001006600,0.11436764,296210.81455095,80400,117490965,4,3986,595,0.149272453587556,10,0.00533049040511727,87.4373205567589,25676.75,NA
"60",60,60,60,6700,11001006700,0.16535538,428268.458887597,83000,233122093,4,1802,703,0.390122086570477,12,0.00326175591193259,72.5709680567998,29611.41,NA
"61",61,61,61,6801,11001006801,0.09442962,244571.592741545,51207.5,76178458,3,2143,847,0.395240317312179,30,0.0158478605388273,317.696926028083,17301.51,NA
"62",62,62,62,6802,11001006802,0.10911804,282614.430575733,63716,96128685,3,2922,866,0.29637234770705,35,0.0172498767865944,320.753561922483,14531.5,NA
"63",63,63,63,6804,11001006804,0.78112045,2023092.67337275,15698,1403283,1,2087,793,0.379971250598946,24,0.00672834314550042,30.7250949581463,9468.33,NA
"64",64,64,64,6900,11001006900,0.15840232,410260.129910805,79464.5,117789037,4,2690,1330,0.494423791821561,32,0.0150872230080151,202.017243181792,31052.84,NA
"65",65,65,65,7000,11001007000,0.16230789,420375.507392908,74503,113568529,4,1955,1259,0.643989769820972,20,0.00727802037845706,123.222598728873,4638.44,NA
"66",66,66,66,7100,11001007100,0.28235662,731300.275476049,44333,90074658,3,6021,3225,0.535625311410065,37,0.0131813323833274,131.039959325197,5219.62,NA
"67",67,67,67,600,11001000600,0.55705167,1442757.20675772,81528.5,413850238,4,6077,4398,0.723712358071417,66,0.0150170648464164,118.480930144236,11015.84,NA
"68",68,68,68,701,11001000701,0.21228371,549812.287648554,68775,265927884,4,5051,4121,0.815878043951693,15,0.00333185250999556,70.6601556944713,1070.23,NA
"69",69,69,69,702,11001000702,0.11308412,292886.528546715,56357.5,121237434,3,6671,5135,0.769749662719233,8,0.00245474071801166,70.743796741753,9714.7,NA
"70",70,70,70,801,11001000801,1.18764863,3075995.83756508,94346,429046240,4,6756,5107,0.755920663114269,112,0.0171621207477781,94.3039861882382,3173.77,NA
"71",71,71,71,802,11001000802,0.87975675,2278559.52143544,78663,240968712,4,2830,1806,0.638162544169611,90,0.0324324324324324,102.30100536313,22046.75,NA
"72",72,72,72,901,11001000901,1.16931895,3028522.18062107,138978.5,443181730,4,2998,1712,0.57104736490994,187,0.0269219694788367,159.922149555517,21289.47,NA
"73",73,73,73,1803,11001001803,0.45183515,1170247.66299615,26235,76833849,1,33,7,0.212121212121212,9,0.00264628050573361,19.9187690466313,168315.72,NA
"74",74,74,74,1804,11001001804,0.23232488,601718.669088252,26535.5,101095037,1,2139,142,0.0663861617578308,51,0.0118329466357309,219.520182255125,9678.41,NA
"75",75,75,75,1901,11001001901,0.29693939,769069.481664375,37420,96561062,2,1909,1718,0.899947616553169,79,0.0203241574479033,266.047559402611,4124.27,NA
"76",76,76,76,902,11001000902,0.84187806,2180454.16569644,113487,176273097,4,3775,3077,0.815099337748344,127,0.0628401781296388,150.853200759264,4.69,NA
"77",77,77,77,3301,11001003301,0.16973472,439610.90178309,52263,118997087,3,1949,647,0.331965110312981,28,0.00911458333333333,164.963302734997,1484,NA
"78",78,78,78,3302,11001003302,0.07668336,198608.997138154,51120,82445643.83,3,2084,937,0.449616122840691,18,0.00876338851022395,234.731498463291,3310.13,NA
"79",79,79,79,8804,11001008804,0.3039147,787135.451864149,25106.5,32464257.52,1,3670,187,0.0509536784741144,24,0.0101052631578947,78.9695266467861,116577.62,NA
"80",80,80,80,8903,11001008903,0.11563101,299482.950950931,29334,50045860,2,2179,1404,0.644332262505737,16,0.00617522192203782,138.371186068512,637.85,NA
"81",81,81,81,8904,11001008904,0.17626088,456513.574479548,23445,38466036.9,1,2812,2209,0.785561877667141,39,0.0120036934441367,221.262937073728,1906.04,NA
"82",82,82,82,9000,11001009000,0.5620618,1455733.36865934,47746,65837807.73,3,2911,977,0.335623497080041,58,0.0219033232628399,103.19149958243,94537.52,NA
"83",83,83,83,9102,11001009102,0.70859999,1835265.55017918,28794,77312944,2,4539,3878,0.854373209958141,69,0.0170118343195266,97.3751072166964,24531.6,NA
"84",84,84,84,9201,11001009201,0.24740302,640770.875124095,38115,45375827.82,2,4620,3848,0.832900432900433,53,0.0278215223097113,214.225355858631,0,NA
"85",85,85,85,9203,11001009203,0.22675181,587284.489541665,35161,62405590,2,3364,2751,0.817776456599287,13,0.00516077808654228,57.3314056456705,11143.51,124942
"86",86,86,86,9204,11001009204,0.11700677,303046.147344249,26124,34706643,1,6709,5719,0.852437024891936,28,0.0111865761086696,239.302392502588,73436.72,NA
"87",87,87,87,7200,11001007200,0.63385548,1641678.14768953,70045,186295174,4,2869,2390,0.833042872080864,322,0.118863049095607,508.002234200137,63666.67,NA
"88",88,88,88,7301,11001007301,3.81233131,9873892.76213028,40680,3361568,2,7175,6135,0.855052264808362,31,0.0110007097232079,8.13150733218934,40486.36,NA
"89",89,89,89,2301,11001002301,0.15929393,412569.389844188,37194.5,84654482,2,4277,1753,0.409866729015665,52,0.0179372197309417,326.440561796674,15255.42,NA
